semester,year,dept,course_count
1819F,1819,ECON,20
1819F,1819,ENGL,35
1819F,1819,ENST,8
1819F,1819,EUST,8
1819F,1819,FAMS,13
1819F,1819,FREN,10
1819F,1819,FYSE,34
1819F,1819,GEOL,5
1819F,1819,GERM,7
1819F,1819,GREE,3
1819F,1819,HIST,26
1819F,1819,JAPA,15
1819F,1819,LATI,3
1819F,1819,LJST,9
1819F,1819,LLAS,1
1819F,1819,MATH,17
1819F,1819,MIXD,102
1819F,1819,MUSI,15
1819F,1819,MUSL,104
1819F,1819,NEUR,3
1819F,1819,PHIL,11
1819F,1819,PHYS,12
1819F,1819,POSC,17
1819F,1819,PSYC,14
1819F,1819,RELI,12
1819F,1819,RUSS,12
1819F,1819,SOCI,10
1819F,1819,SPAN,12
1819F,1819,STAT,9
1819F,1819,SWAG,27
1819F,1819,THDA,19
1819S,1819,AMST,15
1819S,1819,ANTH,11
1819S,1819,ARAB,3
1819S,1819,ARCH,9
1819S,1819,ARHA,35
1819S,1819,ASLC,23
1819S,1819,ASTR,2
1819S,1819,BCBP,3
1819S,1819,BIOL,16
1819S,1819,BLST,30
1819S,1819,CHEM,7
1819S,1819,CHIN,4
1819S,1819,CLAS,2
1819S,1819,COLQ,7
1819S,1819,COSC,7
1819S,1819,ECON,16
1819S,1819,ENGL,47
1819S,1819,ENST,8
1819S,1819,EUST,12
1819S,1819,FAMS,20
1819S,1819,FREN,11
1819S,1819,GEOL,5
1819S,1819,GERM,9
1819S,1819,GREE,4
1819S,1819,HIST,37
1819S,1819,JAPA,14
1819S,1819,LATI,3
1819S,1819,LJST,12
1819S,1819,MATH,21
1819S,1819,MIXD,120
1819S,1819,MUSI,21
1819S,1819,MUSL,105
1819S,1819,NEUR,4
1819S,1819,PHIL,6
1819S,1819,PHYS,7
1819S,1819,POSC,18
1819S,1819,PSYC,16
1819S,1819,RELI,13
1819S,1819,RUSS,9
1819S,1819,SOCI,7
1819S,1819,SPAN,15
1819S,1819,STAT,5
1819S,1819,SWAG,31
1819S,1819,THDA,18
1920F,1920,AMST,11
1920F,1920,ANTH,9
1920F,1920,ARAB,4
1920F,1920,ARCH,13
1920F,1920,ARHA,30
1920F,1920,ASLC,15
1920F,1920,ASTR,4
1920F,1920,BCBP,4
1920F,1920,BIOL,15
1920F,1920,BLST,17
1920F,1920,CHEM,8
1920F,1920,CHIN,6
1920F,1920,CLAS,3
1920F,1920,COLQ,1
1920F,1920,COSC,10
1920F,1920,ECON,21
1920F,1920,ENGL,36
1920F,1920,ENST,5
1920F,1920,EUST,8
1920F,1920,FAMS,12
1920F,1920,FREN,9
1920F,1920,FYSE,25
1920F,1920,GEOL,5
1920F,1920,GERM,6
1920F,1920,GREE,3
1920F,1920,HIST,20
1920F,1920,JAPA,14
1920F,1920,LATI,3
1920F,1920,LJST,9
1920F,1920,LLAS,11
1920F,1920,MATH,17
1920F,1920,MIXD,95
1920F,1920,MUSI,15
1920F,1920,MUSL,105
1920F,1920,NEUR,4
1920F,1920,PHIL,12
1920F,1920,PHYS,7
1920F,1920,POSC,21
1920F,1920,PSYC,15
1920F,1920,RELI,8
1920F,1920,RUSS,9
1920F,1920,SOCI,8
1920F,1920,SPAN,9
1920F,1920,STAT,9
1920F,1920,SWAG,19
1920F,1920,THDA,17
1920S,1920,AMST,19
1920S,1920,ANTH,10
1920S,1920,ARAB,4
1920S,1920,ARCH,9
1920S,1920,ARHA,34
1920S,1920,ASLC,18
1920S,1920,ASTR,4
1920S,1920,BCBP,4
1920S,1920,BIOL,18
1920S,1920,BLST,34
1920S,1920,CHEM,12
1920S,1920,CHIN,4
1920S,1920,CLAS,2
1920S,1920,COLQ,7
1920S,1920,COSC,8
1920S,1920,ECON,18
1920S,1920,ENGL,45
1920S,1920,ENST,6
1920S,1920,EUST,7
1920S,1920,FAMS,18
1920S,1920,FREN,11
1920S,1920,GEOL,4
1920S,1920,GERM,8
1920S,1920,GREE,4
1920S,1920,HIST,42
1920S,1920,JAPA,15
1920S,1920,LATI,3
1920S,1920,LJST,12
1920S,1920,LLAS,20
1920S,1920,MATH,18
1920S,1920,MIXD,137
1920S,1920,MUSI,18
1920S,1920,MUSL,106
1920S,1920,NEUR,4
1920S,1920,PHIL,6
1920S,1920,PHYS,12
1920S,1920,POSC,19
1920S,1920,PSYC,16
1920S,1920,RELI,15
1920S,1920,RUSS,12
1920S,1920,SOCI,16
1920S,1920,SPAN,15
1920S,1920,STAT,8
1920S,1920,SWAG,25
1920S,1920,THDA,18
2021F,2021,AMST,13
2021F,2021,ANTH,10
2021F,2021,ARAB,4
2021F,2021,ARCH,19
2021F,2021,ARHA,35
2021F,2021,ASLC,16
2021F,2021,ASTR,3
2021F,2021,BCBP,3
2021F,2021,BIOL,13
2021F,2021,BLST,20
2021F,2021,CHEM,8
2021F,2021,CHIN,4
2021F,2021,CLAS,2
2021F,2021,COLQ,1
2021F,2021,COSC,7
2021F,2021,ECON,16
2021F,2021,ENGL,32
2021F,2021,ENST,8
2021F,2021,EUST,12
2021F,2021,FAMS,19
2021F,2021,FREN,10
2021F,2021,FYSE,25
2021F,2021,GEOL,6
2021F,2021,GERM,10
2021F,2021,GREE,4
2021F,2021,HIST,24
2021F,2021,JAPA,16
2021F,2021,LATI,3
2021F,2021,LJST,6
2021F,2021,LLAS,5
2021F,2021,MATH,15
2021F,2021,MIXD,111
2021F,2021,MUSI,15
2021F,2021,MUSL,104
2021F,2021,NEUR,5
2021F,2021,PHIL,4
2021F,2021,PHYS,10
2021F,2021,POSC,21
2021F,2021,PSYC,13
2021F,2021,RELI,9
2021F,2021,RUSS,8
2021F,2021,SOCI,14
2021F,2021,SPAN,9
2021F,2021,STAT,11
2021F,2021,SWAG,21
2021F,2021,THDA,14
2021J,2021,AMST,2
2021J,2021,ANTH,2
2021J,2021,ARCH,1
2021J,2021,ARHA,8
2021J,2021,ASLC,1
2021J,2021,BIOL,2
2021J,2021,BLST,2
2021J,2021,CHEM,3
2021J,2021,CLAS,1
2021J,2021,COLQ,2
2021J,2021,COSC,1
2021J,2021,ECON,2
2021J,2021,ENGL,4
2021J,2021,FAMS,4
2021J,2021,GEOL,1
2021J,2021,HIST,1
2021J,2021,LJST,3
2021J,2021,LLAS,2
2021J,2021,MATH,2
2021J,2021,MIXD,15
2021J,2021,MUSI,5
2021J,2021,POSC,3
2021J,2021,PSYC,2
2021J,2021,RUSS,1
2021J,2021,SOCI,2
2021J,2021,STAT,2
2021J,2021,SWAG,1
2021S,2021,AMST,14
2021S,2021,ANTH,8
2021S,2021,ARAB,4
2021S,2021,ARCH,9
2021S,2021,ARHA,29
2021S,2021,ASLC,12
2021S,2021,ASTR,4
2021S,2021,BCBP,4
2021S,2021,BIOL,18
2021S,2021,BLST,19
2021S,2021,CHEM,11
2021S,2021,CHIN,4
2021S,2021,CLAS,2
2021S,2021,COLQ,4
2021S,2021,COSC,8
2021S,2021,ECON,18
2021S,2021,ENGL,28
2021S,2021,ENST,8
2021S,2021,EUST,14
2021S,2021,FAMS,17
2021S,2021,FREN,8
2021S,2021,GEOL,5
2021S,2021,GERM,8
2021S,2021,GREE,4
2021S,2021,HIST,31
2021S,2021,JAPA,14
2021S,2021,LATI,3
2021S,2021,LJST,9
2021S,2021,LLAS,18
2021S,2021,MATH,21
2021S,2021,MIXD,115
2021S,2021,MUSI,12
2021S,2021,MUSL,106
2021S,2021,NEUR,7
2021S,2021,PHIL,7
2021S,2021,PHYS,8
2021S,2021,POSC,20
2021S,2021,PSYC,14
2021S,2021,RELI,11
2021S,2021,RUSS,10
2021S,2021,SOCI,9
2021S,2021,SPAN,14
2021S,2021,STAT,9
2021S,2021,SWAG,26
2021S,2021,THDA,17
2122F,2122,AMST,10
2122F,2122,ANTH,11
2122F,2122,ARAB,3
2122F,2122,ARCH,9
2122F,2122,ARHA,27
2122F,2122,ASLC,22
2122F,2122,ASTR,2
2122F,2122,BCBP,2
2122F,2122,BIOL,10
2122F,2122,BLST,17
2122F,2122,CHEM,9
2122F,2122,CHIN,3
2122F,2122,CLAS,3
2122F,2122,COSC,8
2122F,2122,ECON,17
2122F,2122,EDST,15
2122F,2122,ENGL,33
2122F,2122,ENST,7
2122F,2122,EUST,11
2122F,2122,FAMS,17
2122F,2122,FREN,8
2122F,2122,FYSE,27
2122F,2122,GEOL,5
2122F,2122,GERM,7
2122F,2122,GREE,4
2122F,2122,HIST,25
2122F,2122,JAPA,15
2122F,2122,LATI,3
2122F,2122,LJST,7
2122F,2122,LLAS,8
2122F,2122,MATH,15
2122F,2122,MIXD,109
2122F,2122,MUSI,11
2122F,2122,MUSL,104
2122F,2122,NEUR,3
2122F,2122,PHIL,8
2122F,2122,PHYS,11
2122F,2122,POSC,18
2122F,2122,PSYC,11
2122F,2122,RELI,11
2122F,2122,RUSS,9
2122F,2122,SOCI,10
2122F,2122,SPAN,15
2122F,2122,STAT,8
2122F,2122,SWAG,18
2122F,2122,THDA,12
2122J,2122,AMST,2
2122J,2122,ANTH,2
2122J,2122,ARHA,2
2122J,2122,ASLC,2
2122J,2122,BIOL,1
2122J,2122,CHEM,2
2122J,2122,CLAS,3
2122J,2122,COSC,1
2122J,2122,ECON,1
2122J,2122,EDST,1
2122J,2122,ENGL,5
2122J,2122,EUST,2
2122J,2122,HIST,2
2122J,2122,LJST,1
2122J,2122,LLAS,1
2122J,2122,MIXD,10
2122J,2122,MUSI,1
2122J,2122,POSC,2
2122J,2122,PSYC,2
2122J,2122,RELI,1
2122J,2122,RUSS,3
2122J,2122,SWAG,4
2122J,2122,THDA,1
2122S,2122,AMST,14
2122S,2122,ANTH,7
2122S,2122,ARAB,3
2122S,2122,ARCH,13
2122S,2122,ARHA,31
2122S,2122,ASLC,18
2122S,2122,ASTR,3
2122S,2122,BCBP,2
2122S,2122,BIOL,16
2122S,2122,BLST,21
2122S,2122,CHEM,10
2122S,2122,CHIN,3
2122S,2122,COLQ,4
2122S,2122,COSC,9
2122S,2122,ECON,18
2122S,2122,EDST,11
2122S,2122,ENGL,39
2122S,2122,ENST,8
2122S,2122,EUST,20
2122S,2122,FAMS,15
2122S,2122,FREN,9
2122S,2122,GEOL,9
2122S,2122,GERM,8
2122S,2122,HIST,34
2122S,2122,JAPA,14
2122S,2122,LJST,10
2122S,2122,LLAS,10
2122S,2122,MATH,20
2122S,2122,MIXD,116
2122S,2122,MUSI,13
2122S,2122,MUSL,106
2122S,2122,NEUR,4
2122S,2122,PHIL,7
2122S,2122,PHYS,8
2122S,2122,POSC,13
2122S,2122,PSYC,13
2122S,2122,RELI,14
2122S,2122,RUSS,11
2122S,2122,SOCI,8
2122S,2122,SPAN,13
2122S,2122,STAT,6
2122S,2122,SWAG,14
2122S,2122,THDA,15
2223F,2223,AMST,10
2223F,2223,ANTH,9
2223F,2223,ARAB,4
2223F,2223,ARCH,12
2223F,2223,ARHA,36
2223F,2223,ASLC,24
2223F,2223,ASTR,5
2223F,2223,BCBP,7
2223F,2223,BIOL,25
2223F,2223,BLST,30
2223F,2223,CHEM,22
2223F,2223,CHIN,4
2223F,2223,CLAS,5
2223F,2223,COSC,13
2223F,2223,ECON,20
2223F,2223,EDST,9
2223F,2223,ENGL,38
2223F,2223,ENST,10
2223F,2223,EUST,16
2223F,2223,FAMS,19
2223F,2223,FREN,9
2223F,2223,FYSE,32
2223F,2223,GEOL,8
2223F,2223,GERM,7
2223F,2223,GREE,5
2223F,2223,HIST,31
2223F,2223,JAPA,14
2223F,2223,LATI,4
2223F,2223,LJST,11
2223F,2223,LLAS,10
2223F,2223,MATH,20
2223F,2223,MIXD,154
2223F,2223,MUSI,25
2223F,2223,MUSL,30
2223F,2223,NEUR,13
2223F,2223,PHIL,10
2223F,2223,PHYS,17
2223F,2223,POSC,31
2223F,2223,PSYC,19
2223F,2223,RELI,8
2223F,2223,RUSS,8
2223F,2223,SOCI,12
2223F,2223,SPAN,16
2223F,2223,STAT,13
2223F,2223,SWAG,40
2223F,2223,THDA,13
2223S,2223,AMST,15
2223S,2223,ANTH,12
2223S,2223,ARAB,3
2223S,2223,ARCH,21
2223S,2223,ARHA,51
2223S,2223,ASLC,26
2223S,2223,ASTR,6
2223S,2223,BCBP,7
2223S,2223,BIOL,23
2223S,2223,BLST,38
2223S,2223,CHEM,23
2223S,2223,CHIN,4
2223S,2223,CLAS,4
2223S,2223,COLQ,1
2223S,2223,COSC,13
2223S,2223,ECON,24
2223S,2223,EDST,26
2223S,2223,ENGL,54
2223S,2223,ENST,18
2223S,2223,EUST,29
2223S,2223,FAMS,24
2223S,2223,FREN,14
2223S,2223,GEOL,8
2223S,2223,GERM,13
2223S,2223,GREE,6
2223S,2223,HIST,43
2223S,2223,JAPA,14
2223S,2223,LATI,5
2223S,2223,LJST,15
2223S,2223,LLAS,20
2223S,2223,MATH,21
2223S,2223,MIXD,240
2223S,2223,MUSI,35
2223S,2223,MUSL,30
2223S,2223,NEUR,15
2223S,2223,PHIL,13
2223S,2223,PHYS,18
2223S,2223,POSC,32
2223S,2223,PSYC,24
2223S,2223,RELI,22
2223S,2223,RUSS,14
2223S,2223,SOCI,15
2223S,2223,SPAN,17
2223S,2223,STAT,10
2223S,2223,SWAG,28
2223S,2223,THDA,22
2324F,2324,AMST,23
2324F,2324,ANTH,13
2324F,2324,ARAB,5
2324F,2324,ARCH,14
2324F,2324,ARHA,41
2324F,2324,ASLC,24
2324F,2324,ASTR,6
2324F,2324,BCBP,7
2324F,2324,BIOL,19
2324F,2324,BLST,33
2324F,2324,CHEM,20
2324F,2324,CHIN,5
2324F,2324,CLAS,9
2324F,2324,COLQ,1
2324F,2324,COSC,14
2324F,2324,ECON,23
2324F,2324,EDST,14
2324F,2324,ENGL,46
2324F,2324,ENST,9
2324F,2324,EUST,16
2324F,2324,FAMS,17
2324F,2324,FREN,12
2324F,2324,FYSE,32
2324F,2324,GEOL,8
2324F,2324,GERM,9
2324F,2324,GREE,8
2324F,2324,HIST,30
2324F,2324,JAPA,12
2324F,2324,LATI,8
2324F,2324,LJST,13
2324F,2324,LLAS,9
2324F,2324,MATH,19
2324F,2324,MIXD,170
2324F,2324,MUSI,23
2324F,2324,MUSL,31
2324F,2324,NEUR,11
2324F,2324,PHIL,11
2324F,2324,PHYS,15
2324F,2324,POSC,20
2324F,2324,PSYC,23
2324F,2324,RELI,13
2324F,2324,RUSS,11
2324F,2324,SOCI,11
2324F,2324,SPAN,13
2324F,2324,STAT,14
2324F,2324,SWAG,18
2324F,2324,THDA,20
2324S,2324,AMST,26
2324S,2324,ANTH,13
2324S,2324,ARAB,5
2324S,2324,ARCH,26
2324S,2324,ARHA,46
2324S,2324,ASLC,26
2324S,2324,ASTR,8
2324S,2324,BCBP,5
2324S,2324,BIOL,32
2324S,2324,BLST,34
2324S,2324,CHEM,20
2324S,2324,CHIN,5
2324S,2324,CLAS,6
2324S,2324,COLQ,1
2324S,2324,COSC,13
2324S,2324,ECON,28
2324S,2324,EDST,21
2324S,2324,ENGL,43
2324S,2324,ENST,15
2324S,2324,EUST,29
2324S,2324,FAMS,24
2324S,2324,FREN,10
2324S,2324,GEOL,10
2324S,2324,GERM,16
2324S,2324,GREE,7
2324S,2324,HIST,49
2324S,2324,JAPA,13
2324S,2324,LATI,6
2324S,2324,LJST,15
2324S,2324,LLAS,15
2324S,2324,MATH,22
2324S,2324,MIXD,213
2324S,2324,MUSI,32
2324S,2324,MUSL,26
2324S,2324,NEUR,8
2324S,2324,PHIL,11
2324S,2324,PHYS,15
2324S,2324,POSC,30
2324S,2324,PSYC,23
2324S,2324,RELI,17
2324S,2324,RUSS,12
2324S,2324,SOCI,17
2324S,2324,SPAN,15
2324S,2324,STAT,14
2324S,2324,SWAG,29
2324S,2324,THDA,32
2425F,2425,AAPI,7
2425F,2425,AMST,19
2425F,2425,ANTH,12
2425F,2425,ARAB,5
2425F,2425,ARCH,14
2425F,2425,ARHA,35
2425F,2425,ASLC,24
2425F,2425,ASTR,3
2425F,2425,BCBP,7
2425F,2425,BIOL,22
2425F,2425,BLST,31
2425F,2425,CHEM,24
2425F,2425,CHIN,5
2425F,2425,CLAS,9
2425F,2425,COSC,15
2425F,2425,ECON,32
2425F,2425,EDST,23
2425F,2425,ENGL,38
2425F,2425,ENST,12
2425F,2425,EUST,17
2425F,2425,FAMS,22
2425F,2425,FREN,11
2425F,2425,FYSE,27
2425F,2425,GEOL,7
2425F,2425,GERM,11
2425F,2425,GREE,9
2425F,2425,HIST,27
2425F,2425,JAPA,20
2425F,2425,LATI,6
2425F,2425,LJST,13
2425F,2425,LLAS,21
2425F,2425,MATH,21
2425F,2425,MIXD,163
2425F,2425,MUSI,24
2425F,2425,MUSL,24
2425F,2425,NEUR,8
2425F,2425,PHIL,9
2425F,2425,PHYS,15
2425F,2425,POSC,35
2425F,2425,PSYC,19
2425F,2425,RELI,13
2425F,2425,RUSS,13
2425F,2425,SOCI,11
2425F,2425,SPAN,14
2425F,2425,STAT,13
2425F,2425,SWAG,19
2425F,2425,THDA,23
2425S,2425,AAPI,9
2425S,2425,AMST,18
2425S,2425,ANTH,9
2425S,2425,ARAB,5
2425S,2425,ARCH,18
2425S,2425,ARHA,45
2425S,2425,ASLC,19
2425S,2425,ASTR,7
2425S,2425,BCBP,5
2425S,2425,BIOL,31
2425S,2425,BLST,29
2425S,2425,CHEM,22
2425S,2425,CHIN,4
2425S,2425,CLAS,11
2425S,2425,COLQ,1
2425S,2425,COSC,13
2425S,2425,ECON,33
2425S,2425,EDST,20
2425S,2425,ENGL,51
2425S,2425,ENST,12
2425S,2425,EUST,17
2425S,2425,FAMS,23
2425S,2425,FREN,10
2425S,2425,GEOL,12
2425S,2425,GERM,12
2425S,2425,GREE,5
2425S,2425,HIST,31
2425S,2425,JAPA,20
2425S,2425,LATI,8
2425S,2425,LJST,16
2425S,2425,LLAS,13
2425S,2425,MATH,24
2425S,2425,MIXD,208
2425S,2425,MUSI,30
2425S,2425,MUSL,24
2425S,2425,NEUR,12
2425S,2425,PHIL,11
2425S,2425,PHYS,13
2425S,2425,POSC,30
2425S,2425,PSYC,22
2425S,2425,RELI,17
2425S,2425,RUSS,14
2425S,2425,SOCI,9
2425S,2425,SPAN,14
2425S,2425,STAT,23
2425S,2425,SWAG,35
2425S,2425,THDA,23
2526F,2526,AAPI,9
2526F,2526,AMST,13
2526F,2526,ANTH,2
2526F,2526,ARAB,5
2526F,2526,ARCH,12
2526F,2526,ARHA,15
2526F,2526,ASLC,26
2526F,2526,ASTR,5
2526F,2526,BCBP,7
2526F,2526,BIOL,25
2526F,2526,BLST,21
2526F,2526,CHEM,23
2526F,2526,CHIN,5
2526F,2526,CLAS,7
2526F,2526,COSC,15
2526F,2526,ECON,26
2526F,2526,EDST,29
2526F,2526,ENGL,33
2526F,2526,ENST,9
2526F,2526,EUST,21
2526F,2526,FAMS,16
2526F,2526,FREN,11
2526F,2526,FYSE,11
2526F,2526,GEOL,9
2526F,2526,GERM,10
2526F,2526,GREE,6
2526F,2526,HIST,36
2526F,2526,JAPA,20
2526F,2526,LATI,8
2526F,2526,LJST,13
2526F,2526,LLAS,11
2526F,2526,MATH,18
2526F,2526,MIXD,163
2526F,2526,MUSI,24
2526F,2526,MUSL,24
2526F,2526,NEUR,11
2526F,2526,PHIL,10
2526F,2526,PHYS,14
2526F,2526,POSC,28
2526F,2526,PSYC,18
2526F,2526,RELI,15
2526F,2526,RUSS,13
2526F,2526,SOCI,1
2526F,2526,SPAN,18
2526F,2526,STAT,9
2526F,2526,SWAG,28
2526F,2526,THDA,31
2526S,2526,AAPI,4
2526S,2526,AMST,8
2526S,2526,ANTH,2
2526S,2526,ARAB,5
2526S,2526,ARCH,11
2526S,2526,ARHA,30
2526S,2526,ASLC,21
2526S,2526,ASTR,6
2526S,2526,BCBP,7
2526S,2526,BIOL,22
2526S,2526,BLST,19
2526S,2526,CHEM,18
2526S,2526,CHIN,4
2526S,2526,CLAS,4
2526S,2526,COLQ,1
2526S,2526,COSC,17
2526S,2526,ECON,26
2526S,2526,EDST,13
2526S,2526,ENGL,34
2526S,2526,ENST,5
2526S,2526,EUST,13
2526S,2526,FAMS,16
2526S,2526,FREN,12
2526S,2526,GEOL,6
2526S,2526,GERM,7
2526S,2526,GREE,5
2526S,2526,HIST,32
2526S,2526,JAPA,1
2526S,2526,LATI,3
2526S,2526,LJST,11
2526S,2526,LLAS,20
2526S,2526,MATH,19
2526S,2526,MIXD,154
2526S,2526,MUSI,22
2526S,2526,MUSL,22
2526S,2526,NEUR,8
2526S,2526,PHIL,4
2526S,2526,PHYS,15
2526S,2526,POSC,32
2526S,2526,PSYC,28
2526S,2526,RELI,10
2526S,2526,RUSS,7
2526S,2526,SOCI,2
2526S,2526,SPAN,13
2526S,2526,STAT,15
2526S,2526,SWAG,26
2526S,2526,THDA,18
